			rss	vsize
gmm_d32_K200.txt	Enzyme/MLIR	Tri	9888227328	14284013568
gmm_d32_K200.txt	Enzyme/MLIR	Packed	1048109056	5455675392
gmm_d32_K200.txt	Enzyme/C	Full	13648936960	21318336512
gmm_d32_K200.txt	Enzyme/C	Tri	13199060992	18216493056
gmm_d32_K200.txt	Enzyme/C	Packed	1048907776	5437652992
gmm_d128_K25.txt	LAGrad	Full	19824640	4417548288
gmm_d128_K25.txt	LAGrad	Tri	20332544	4417945600
gmm_d128_K25.txt	LAGrad	Packed	19955712	4417540096
gmm_d128_K25.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K25.txt	Enzyme/MLIR	Tri	13530275840	18112520192
gmm_d128_K25.txt	Enzyme/MLIR	Packed	534024192	4941144064
gmm_d128_K25.txt	Enzyme/C	Full	13726801920	37434281984
gmm_d128_K25.txt	Enzyme/C	Tri	12885868544	17944862720
gmm_d128_K25.txt	Enzyme/C	Packed	535408640	4923928576
gmm_d64_K100.txt	LAGrad	Full	14688256	4393959424
gmm_d64_K100.txt	LAGrad	Tri	15130624	4412846080
gmm_d64_K100.txt	LAGrad	Packed	14639104	4394975232
gmm_d64_K100.txt	Enzyme/MLIR	Full	0	0
gmm_d64_K100.txt	Enzyme/MLIR	Tri	13586202624	18383675392
gmm_d64_K100.txt	Enzyme/MLIR	Packed	1046683648	5435478016
gmm_d64_K100.txt	Enzyme/C	Full	13690433536	37694717952
gmm_d64_K100.txt	Enzyme/C	Tri	12974919680	18668154880
gmm_d64_K100.txt	Enzyme/C	Packed	1048367104	5446586368
gmm_d128_K50.txt	LAGrad	Full	27996160	4408332288
gmm_d128_K50.txt	LAGrad	Tri	28389376	4400345088
gmm_d128_K50.txt	LAGrad	Packed	27955200	4408291328
gmm_d128_K50.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K50.txt	Enzyme/MLIR	Tri	0	0
gmm_d128_K50.txt	Enzyme/MLIR	Packed	1056006144	5453185024
gmm_d128_K50.txt	Enzyme/C	Full	0	0
gmm_d128_K50.txt	Enzyme/C	Tri	0	0
gmm_d128_K50.txt	Enzyme/C	Packed	1059344384	5457543168
gmm_d64_K200.txt	LAGrad	Full	23289856	4418293760
gmm_d64_K200.txt	LAGrad	Tri	23937024	4418301952
gmm_d64_K200.txt	LAGrad	Packed	23203840	4418215936
gmm_d64_K200.txt	Enzyme/MLIR	Full	0	0
gmm_d64_K200.txt	Enzyme/MLIR	Tri	0	0
gmm_d64_K200.txt	Enzyme/MLIR	Packed	2087211008	6493814784
gmm_d64_K200.txt	Enzyme/C	Full	0	0
gmm_d64_K200.txt	Enzyme/C	Tri	0	0
gmm_d64_K200.txt	Enzyme/C	Packed	2090549248	6488760320
gmm_d128_K100.txt	LAGrad	Full	44830720	4426162176
gmm_d128_K100.txt	LAGrad	Tri	45256704	4425543680
gmm_d128_K100.txt	LAGrad	Packed	44736512	4425015296
gmm_d128_K100.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K100.txt	Enzyme/MLIR	Tri	0	0
gmm_d128_K100.txt	Enzyme/MLIR	Packed	2100686848	6498906112
gmm_d128_K100.txt	Enzyme/C	Full	0	0
gmm_d128_K100.txt	Enzyme/C	Tri	0	0
gmm_d128_K100.txt	Enzyme/C	Packed	2107310080	6506565632
gmm_d128_K200.txt	LAGrad	Full	78475264	4473421824
gmm_d128_K200.txt	LAGrad	Tri	78843904	4473823232
gmm_d128_K200.txt	LAGrad	Packed	78237696	4474269696
gmm_d128_K200.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K200.txt	Enzyme/MLIR	Tri	0	0
gmm_d128_K200.txt	Enzyme/MLIR	Packed	4190023680	8586231808
gmm_d128_K200.txt	Enzyme/C	Full	0	0
gmm_d128_K200.txt	Enzyme/C	Tri	0	0
gmm_d128_K200.txt	Enzyme/C	Packed	4203220992	8591056896
